Brad Pitt,Meryl Streep,Leonardo DiCaprio,,,COMBINED,,ACTOR_1_NAME,COMBINED,,,,,ACTOR_NAME,Average of num_user_for_reviews,Average of num_critic_for_reviews,,,
Titanic ,The Man in the Iron Mask ,The Tree of Life ,,,Titanic ,,Brad Pitt,Titanic ,,,,,Brad Pitt,702.4444444,231.9444444,,,
Inception ,Fury ,Lions for Lambs ,,,Inception ,,Brad Pitt,Inception ,,,,,Leonardo DiCaprio,914.4761905,330.1904762,,NOT MENTIONED,3127916
Catch Me If You Can ,The Iron Lady ,Gangs of New York ,,,Catch Me If You Can ,,Brad Pitt,Catch Me If You Can ,,,,,Meryl Streep,257.3076923,163.1538462,,,
Ocean's Eleven ,The Wolf of Wall Street ,The Curious Case of Benjamin Button ,,,Ocean's Eleven ,,Brad Pitt,Ocean's Eleven ,,,,,,,,,,
The Devil Wears Prada ,The Hours ,Fight Club ,,,The Devil Wears Prada ,,Brad Pitt,The Devil Wears Prada ,,,,,,,,,,
Mr. & Mrs. Smith ,Ocean's Twelve ,The Assassination of Jesse James by the Coward Robert Ford ,,,Mr. & Mrs. Smith ,,Brad Pitt,Mr. & Mrs. Smith ,,,,,DF_BY_DECADE,,,,,
Django Unchained ,A Prairie Home Companion ,Florence Foster Jenkins ,,,Django Unchained ,,Brad Pitt,Django Unchained ,,,,,DECADE,Sum of num_voted_users,,,,
Out of Africa ,Babel ,Body of Lies ,,,Out of Africa ,,Brad Pitt,Out of Africa ,,,,,1910,10718,,,,
Julie & Julia ,J. Edgar ,Seven Years in Tibet ,,,Julie & Julia ,,Brad Pitt,Julie & Julia ,,,,,1920,128672,,,,
The Revenant ,The River Wild ,Sinbad: Legend of the Seven Seas ,,,The Revenant ,,Brad Pitt,The Revenant ,,,,,1930,984397,,,,
Shutter Island ,Killing Them Softly ,Troy ,,,Shutter Island ,,Brad Pitt,Shutter Island ,,,,,1940,1211888,,,,
Interview with the Vampire: The Vampire Chronicles ,Johnny Suede ,Blood Diamond ,,,Interview with the Vampire: The Vampire Chronicles ,,Brad Pitt,Interview with the Vampire: The Vampire Chronicles ,,,,,1950,1638504,,,,
The Departed ,True Romance ,Spy Game ,,,The Departed ,,Brad Pitt,The Departed ,,,,,1960,5065074,,,,
The Great Gatsby ,One True Thing ,,,,The Great Gatsby ,,Brad Pitt,The Great Gatsby ,,,,,1970,11072372,,,,
The Great Gatsby ,The Aviator ,,,,The Great Gatsby ,,Brad Pitt,The Great Gatsby ,,,,,1980,23021112,,,,
Hope Springs ,Julia ,,,,Hope Springs ,,Brad Pitt,Hope Springs ,,,,,1990,70278714,,,,
Romeo + Juliet ,By the Sea ,,,,Romeo + Juliet ,,Brad Pitt,Romeo + Juliet ,,,,,2000,176230225,,,,
It's Complicated ,Marvin's Room ,,,,It's Complicated ,,Brad Pitt,It's Complicated ,,,,,2010,124382231,,,,
,The Beach ,,,,The Man in the Iron Mask ,,Leonardo DiCaprio,The Man in the Iron Mask ,,,,,,,,,,
,Revolutionary Road ,,,,Fury ,,Leonardo DiCaprio,Fury ,,,,,,,,,,
,The Quick and the Dead ,,,,The Iron Lady ,,Leonardo DiCaprio,The Iron Lady ,,,,,,,,,,
,,,,,The Wolf of Wall Street ,,Leonardo DiCaprio,The Wolf of Wall Street ,,,,,,,,,,
,,,,,The Hours ,,Leonardo DiCaprio,The Hours ,,,,,,,,,,
,,,,,Ocean's Twelve ,,Leonardo DiCaprio,Ocean's Twelve ,,,,,,,,,,
,,,,,A Prairie Home Companion ,,Leonardo DiCaprio,A Prairie Home Companion ,,,,,,,,,,
,,,,,Babel ,,Leonardo DiCaprio,Babel ,,,,,,,,,,
,,,,,J. Edgar ,,Leonardo DiCaprio,J. Edgar ,,,,,,,,,,
,,,,,The River Wild ,,Leonardo DiCaprio,The River Wild ,,,,,,,,,,
,,,,,Killing Them Softly ,,Leonardo DiCaprio,Killing Them Softly ,,,,,,,,,,
,,,,,Johnny Suede ,,Leonardo DiCaprio,Johnny Suede ,,,,,,,,,,
,,,,,True Romance ,,Leonardo DiCaprio,True Romance ,,,,,,,,,,
,,,,,One True Thing ,,Leonardo DiCaprio,One True Thing ,,,,,,,,,,
,,,,,The Aviator ,,Leonardo DiCaprio,The Aviator ,,,,,,,,,,
,,,,,Julia ,,Leonardo DiCaprio,Julia ,,,,,,,,,,
,,,,,By the Sea ,,Leonardo DiCaprio,By the Sea ,,,,,,,,,,
,,,,,Marvin's Room ,,Leonardo DiCaprio,Marvin's Room ,,,,,,,,,,
,,,,,The Beach ,,Leonardo DiCaprio,The Beach ,,,,,,,,,,
,,,,,Revolutionary Road ,,Leonardo DiCaprio,Revolutionary Road ,,,,,,,,,,
