IMDB_TOP_250,,,,,,,,,,,,,,,
movie_title,num_voted_users,language,imdb_score,,,,,,,,,,,,
The Shawshank Redemption ,1689764,English,9.3,,,,,,,,,,,,
The Godfather ,1155770,English,9.2,,,,,,,,,,,,
The Dark Knight ,1676169,English,9,,,,,,,,,,,,
The Godfather: Part II ,790926,English,9,,,,,,,,,,,,
Fargo             ,170055,English,9,,,,,,,,,,,,
The Lord of the Rings: The Return of the King ,1215718,English,8.9,,,,,,,,,,,,
Pulp Fiction ,1324680,English,8.9,,,,,,,,,,,,
Schindler's List ,865020,English,8.9,,,,,,,,,,,,
"The Good, the Bad and the Ugly ",503509,Italian,8.9,,,,,,,,,,,,
12 Angry Men ,447785,English,8.9,,,,,,,,,,,,
Forrest Gump ,1251222,English,8.8,,,,,,,,,,,,
Star Wars: Episode V - The Empire Strikes Back ,837759,English,8.8,,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring ,1238746,English,8.8,,,,,,,,,,,,
Inception ,1468200,English,8.8,,,,,,,,,,,,
Daredevil             ,213483,English,8.8,,,,,,,,,,,,
It's Always Sunny in Philadelphia             ,133415,English,8.8,,,,,,,,,,,,
Fight Club ,1347461,English,8.8,,,,,,,,,,,,
Star Wars: Episode IV - A New Hope ,911097,English,8.7,,,,,,,,,,,,
The Lord of the Rings: The Two Towers ,1100446,English,8.7,,,,,,,,,,,,
The Matrix ,1217752,English,8.7,,,,,,,,,,,,
One Flew Over the Cuckoo's Nest ,680041,English,8.7,,,,,,,,,,,,
Goodfellas ,728685,English,8.7,,,,,,,,,,,,
City of God ,533200,Portuguese,8.7,,,,,,,,,,,,
Friday Night Lights             ,42746,English,8.7,,,,,,,,,,,,
Seven Samurai ,229012,Japanese,8.7,,,,,,,,,,,,
Saving Private Ryan ,881236,English,8.6,,,,,,,,,,,,
The Silence of the Lambs ,887467,English,8.6,,,,,,,,,,,,
Interstellar ,928227,English,8.6,,,,,,,,,,,,
The Usual Suspects ,740918,English,8.6,,,,,,,,,,,,
Hannibal             ,159910,English,8.6,,,,,,,,,,,,
Luther             ,70568,English,8.6,,,,,,,,,,,,
Spartacus: War of the Damned             ,173172,English,8.6,,,,,,,,,,,,
American History X ,782437,English,8.6,,,,,,,,,,,,
Casablanca ,387508,English,8.6,,,,,,,,,,,,
Modern Times ,143086,English,8.6,,,,,,,,,,,,
It's a Wonderful Life ,275720,English,8.6,,,,,,,,,,,,
Once Upon a Time in the West ,216005,English,8.6,,,,,,,,,,,,
Spirited Away ,417971,Japanese,8.6,,,,,,,,,,,,
The Lion King ,644348,English,8.5,,,,,,,,,,,,
Raiders of the Lost Ark ,661017,English,8.5,,,,,,,,,,,,
The Dark Knight Rises ,1144337,English,8.5,,,,,,,,,,,,
Back to the Future ,732212,English,8.5,,,,,,,,,,,,
Terminator 2: Judgment Day ,744891,English,8.5,,,,,,,,,,,,
Gladiator ,982637,English,8.5,,,,,,,,,,,,
The Green Mile ,782610,English,8.5,,,,,,,,,,,,
Alien ,563827,English,8.5,,,,,,,,,,,,
Django Unchained ,955174,English,8.5,,,,,,,,,,,,
Apocalypse Now ,450676,English,8.5,,,,,,,,,,,,
The Departed ,873649,English,8.5,,,,,,,,,,,,
Psycho ,422432,English,8.5,,,,,,,,,,,,
Memento ,845580,English,8.5,,,,,,,,,,,,
The Prestige ,844052,English,8.5,,,,,,,,,,,,
Whiplash ,399138,English,8.5,,,,,,,,,,,,
The Lives of Others ,259379,German,8.5,,,,,,,,,,,,
Children of Heaven ,27882,Persian,8.5,,,,,,,,,,,,
Outlander             ,50391,English,8.5,,,,,,,,,,,,
Entourage             ,135643,English,8.5,,,,,,,,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,342585,English,8.5,,,,,,,,,,,,
The Pianist ,497946,English,8.5,,,,,,,,,,,,
Airlift ,30977,Hindi,8.5,,,,,,,,,,,,
Star Wars: Episode VI - Return of the Jedi ,681857,English,8.4,,,,,,,,,,,,
American Beauty ,822500,English,8.4,,,,,,,,,,,,
Aliens ,488537,English,8.4,,,,,,,,,,,,
WALL·E ,718837,English,8.4,,,,,,,,,,,,
A Separation ,151812,Persian,8.4,,,,,,,,,,,,
Braveheart ,736638,English,8.4,,,,,,,,,,,,
Rang De Basanti ,70233,Hindi,8.4,,,,,,,,,,,,
Reservoir Dogs ,664719,English,8.4,,,,,,,,,,,,
Veronica Mars             ,55524,English,8.4,,,,,,,,,,,,
The Inbetweeners             ,55987,English,8.4,,,,,,,,,,,,
Psych             ,67315,English,8.4,,,,,,,,,,,,
M*A*S*H             ,36265,English,8.4,,,,,,,,,,,,
Oldboy ,356181,Korean,8.4,,,,,,,,,,,,
Requiem for a Dream ,573541,English,8.4,,,,,,,,,,,,
Stargate SG-1             ,63982,English,8.4,,,,,,,,,,,,
To Kill a Mockingbird ,215086,English,8.4,,,,,,,,,,,,
Das Boot ,168203,German,8.4,,,,,,,,,,,,
"Batman: The Dark Knight Returns, Part 2 ",30434,English,8.4,,,,,,,,,,,,
Lawrence of Arabia ,192775,English,8.4,,,,,,,,,,,,
Baahubali: The Beginning ,62756,Telugu,8.4,,,,,,,,,,,,
