IMDB_TOP_250,,,,,,,,,,,,,,,,
movie_title,num_voted_users,language,imdb_score,RANK,UNIQUE_RANK,,,,,,,,,,,
The Shawshank Redemption ,1689764,English,9.3,1,1,,,,,,,,,,,
The Godfather ,1155770,English,9.2,2,2,,,,,,,,,,,
The Dark Knight ,1676169,English,9,3,3,,,,,,,,,,,
The Godfather: Part II ,790926,English,9,3,4,,,,,,,,,,,
Fargo             ,170055,English,9,3,5,,,,,,,,,,,
The Lord of the Rings: The Return of the King ,1215718,English,8.9,6,6,,,,,,,,,,,
Pulp Fiction ,1324680,English,8.9,6,7,,,,,,,,,,,
Schindler's List ,865020,English,8.9,6,8,,,,,,,,,,,
"The Good, the Bad and the Ugly ",503509,Italian,8.9,6,9,,,,,,,,,,,
12 Angry Men ,447785,English,8.9,6,10,,,,,,,,,,,
Forrest Gump ,1251222,English,8.8,11,11,,,,,,,,,,,
Star Wars: Episode V - The Empire Strikes Back ,837759,English,8.8,11,12,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring ,1238746,English,8.8,11,13,,,,,,,,,,,
Inception ,1468200,English,8.8,11,14,,,,,,,,,,,
Daredevil             ,213483,English,8.8,11,15,,,,,,,,,,,
It's Always Sunny in Philadelphia             ,133415,English,8.8,11,16,,,,,,,,,,,
Fight Club ,1347461,English,8.8,11,17,,,,,,,,,,,
Star Wars: Episode IV - A New Hope ,911097,English,8.7,18,18,,,,,,,,,,,
The Lord of the Rings: The Two Towers ,1100446,English,8.7,18,19,,,,,,,,,,,
The Matrix ,1217752,English,8.7,18,20,,,,,,,,,,,
One Flew Over the Cuckoo's Nest ,680041,English,8.7,18,21,,,,,,,,,,,
Goodfellas ,728685,English,8.7,18,22,,,,,,,,,,,
City of God ,533200,Portuguese,8.7,18,23,,,,,,,,,,,
Friday Night Lights             ,42746,English,8.7,18,24,,,,,,,,,,,
Seven Samurai ,229012,Japanese,8.7,18,25,,,,,,,,,,,
Saving Private Ryan ,881236,English,8.6,26,26,,,,,,,,,,,
The Silence of the Lambs ,887467,English,8.6,26,27,,,,,,,,,,,
Interstellar ,928227,English,8.6,26,28,,,,,,,,,,,
The Usual Suspects ,740918,English,8.6,26,29,,,,,,,,,,,
Hannibal             ,159910,English,8.6,26,30,,,,,,,,,,,
Luther             ,70568,English,8.6,26,31,,,,,,,,,,,
Spartacus: War of the Damned             ,173172,English,8.6,26,32,,,,,,,,,,,
American History X ,782437,English,8.6,26,33,,,,,,,,,,,
Casablanca ,387508,English,8.6,26,34,,,,,,,,,,,
Modern Times ,143086,English,8.6,26,35,,,,,,,,,,,
It's a Wonderful Life ,275720,English,8.6,26,36,,,,,,,,,,,
