Top_Foreign_Lang_Film,,,,,
movie_title,num_voted_users,language,imdb_score,RANK,UNIQUE_RANK
"The Good, the Bad and the Ugly ",503509,Italian,8.9,6,9
City of God ,533200,Portuguese,8.7,18,23
Seven Samurai ,229012,Japanese,8.7,18,25
Spirited Away ,417971,Japanese,8.6,26,38
The Lives of Others ,259379,German,8.5,39,54
Children of Heaven ,27882,Persian,8.5,39,55
Airlift ,30977,Hindi,8.5,39,60
A Separation ,151812,Persian,8.4,61,65
Rang De Basanti ,70233,Hindi,8.4,61,67
Oldboy ,356181,Korean,8.4,61,73
Das Boot ,168203,German,8.4,61,77
Baahubali: The Beginning ,62756,Telugu,8.4,61,80
Amélie ,534262,French,8.4,61,83
Princess Mononoke ,221552,Japanese,8.4,61,84
The Hunt ,170155,Danish,8.3,85,110
Metropolis ,111841,German,8.3,85,112
Downfall ,248354,German,8.3,85,113
Pan's Labyrinth ,467234,Spanish,8.2,115,123
The Secret in Their Eyes ,131831,Spanish,8.2,115,124
Incendies ,80429,French,8.2,115,132
Howl's Moving Castle ,214091,Japanese,8.2,115,143
Lage Raho Munna Bhai ,27569,Hindi,8.2,115,144
Amores Perros ,173551,Spanish,8.1,145,182
The Celebration ,65951,Danish,8.1,145,184
Solaris ,54057,Russian,8.1,145,186
Elite Squad ,81644,Portuguese,8.1,145,191
The Sea Inside ,64556,Spanish,8.1,145,193
Tae Guk Gi: The Brotherhood of War ,31943,Korean,8.1,145,196
Akira ,106160,Japanese,8.1,145,199
The Diving Bell and the Butterfly ,89906,French,8,200,232
A Fistful of Dollars ,147566,Italian,8,200,235
Central Station ,28951,Portuguese,8,200,237
Waltz with Bashir ,46107,Hebrew,8,200,239
The Return ,31589,Russian,8,200,240
Persepolis ,70194,French,8,200,247
